Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,13.52%
Reliance Industries Ltd.,Equity,9.20%
ICICI Bank Ltd.,Equity,7.36%
Infosys Ltd.,Equity,5.80%
Larsen & Toubro Ltd.,Equity,4.39%
ITC Ltd.,Equity,4.31%
Tata Consultancy Services Ltd.,Equity,4.04%
Axis Bank Ltd.,Equity,3.22%
Kotak Mahindra Bank Ltd.,Equity,2.95%
Bharti Airtel Ltd.,Equity,2.75%
State Bank Of India,Equity,2.59%
Hindustan Unilever Ltd.,Equity,2.50%
Bajaj Finance Ltd.,Equity,2.14%
HCL Technologies Ltd.,Equity,1.63%
Mahindra & Mahindra Ltd.,Equity,1.63%
Asian Paints Ltd.,Equity,1.61%
Titan Company Ltd.,Equity,1.61%
National Thermal Power Corporation Ltd.,Equity,1.56%
Tata Motors Ltd.,Equity,1.45%
Maruti Suzuki India Ltd.,Equity,1.43%
Sun Pharmaceuticals Ind Ltd.,Equity,1.43%
Ultratech Cement Ltd.,Equity,1.28%
Tata Steel Ltd.,Equity,1.19%
Power Grid Corporation Of India Ltd.,Equity,1.14%
Indusind Bank Ltd.,Equity,1.11%
Nestle India Ltd.,Equity,1.00%
Bajaj Finserv Ltd.,Equity,0.96%
Hindalco Industries Ltd.,Equity,0.95%
Coal India Ltd.,Equity,0.90%
JSW Steel Ltd.,Equity,0.88%
Oil & Natural Gas Corporation Ltd.,Equity,0.84%
Tech Mahindra Ltd.,Equity,0.84%
Grasim Industries Ltd.,Equity,0.83%
Bajaj Auto Ltd.,Equity,0.81%
Adani Ports and Special Economic Zone Ltd.,Equity,0.79%
Adani Enterprises Ltd.,Equity,0.79%
Dr Reddys Laboratories Ltd.,Equity,0.74%
HDFC Life Insurance Company Ltd.,Equity,0.72%
Wipro Ltd.,Equity,0.70%
Tata Consumer Products Ltd.,Equity,0.69%
Cipla Ltd.,Equity,0.69%
SBI Life Insurance Company Ltd.,Equity,0.68%
Britannia Industries Ltd.,Equity,0.66%
Ltimindtree Ltd.,Equity,0.61%
Apollo Hospitals Enterprise Ltd.,Equity,0.60%
Eicher Motors Ltd.,Equity,0.60%
Hero Motocorp Ltd.,Equity,0.57%
Divi Laboratories Ltd.,Equity,0.52%
Bharat Petroleum Corporation Ltd.,Equity,0.45%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.31%
Current Assets,Others,0.02%
