Company Name,Asset Type,Percentage Allocation
Bajaj Finance Ltd.,Equity,7.10%
Triparty Repo,Others,5.94%
HDFC Bank Ltd.,Equity,5.79%
ICICI Bank Ltd.,Equity,4.81%
Apar Industries Ltd.,Equity,3.65%
Bharat Electronics Ltd.,Equity,3.60%
Axis Bank Ltd.,Equity,3.39%
Avenue Supermarts Ltd.,Equity,3.38%
Power Finance Corporation Ltd.,Equity,3.35%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,3.28%
Infosys Ltd.,Equity,3.05%
Gujarat Fluorochemicals Ltd.,Equity,2.50%
Alkem Laboratories Ltd.,Equity,2.28%
Hindustan Unilever Ltd.,Equity,2.24%
REC Ltd.,Equity,2.12%
Century Plyboards Ltd.,Equity,2.12%
Emami Ltd.,Equity,1.98%
HCL Technologies Ltd.,Equity,1.93%
Polycab India Ltd.,Equity,1.90%
APL Apollo Tubes Ltd.,Equity,1.69%
Radico Khaitan Ltd.,Equity,1.61%
KEC International Ltd.,Equity,1.46%
Tata Consultancy Services Ltd.,Equity,1.45%
Rainbow Childrens Medicare Ltd.,Equity,1.43%
CG Power & Industrial Solutions Ltd.,Equity,1.43%
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.35%
Engineers India Ltd.,Equity,1.35%
Coforge Ltd.,Equity,1.34%
AIA Engineering Ltd.,Equity,1.32%
Canfin Homes Ltd.,Equity,1.32%
JK Lakshmi Cement Ltd.,Equity,1.27%
Au Small Finance Bank Ltd.,Equity,1.26%
UNO Minda Ltd.,Equity,1.24%
Schaeffler India Ltd.,Equity,1.20%
Prudent Corporate Advisory Services Ltd.,Equity,1.16%
Asian Paints Ltd.,Equity,1.10%
Tata Motors Ltd.,Equity,1.09%
Bharat Forge Ltd.,Equity,1.00%
Bajaj Finserv Ltd.,Equity,0.98%
Suven Pharmaceuticals Ltd.,Equity,0.97%
PI Industries Ltd.,Equity,0.97%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.96%
ICICI Lombard General Insurance Company Ltd.,Equity,0.89%
IPCA Laboratories Ltd.,Equity,0.87%
Havells India Ltd.,Equity,0.83%
Ganesha Ecosphere Ltd.,Equity,0.82%
Ltimindtree Ltd.,Equity,0.81%
Balkrishna Industries Ltd.,Equity,0.60%
J. K. Cement Ltd.,Equity,0.60%
Atul Ltd.,Equity,0.60%
Dalmia Bharat Ltd.,Equity,0.48%
Net Receivables/(Payable),Others,0.12%
